happiness,户口类型,出生年份,家庭年收入,家庭常驻人口,家庭经济状况,是否参加基本医疗保险,是否参加基本养老保险,是否参加商业医疗保险,是否参加商业养老保险,养老应该由谁负责
非常幸福,城市,1956,50000,2,低于平均水平,参加了,参加了,没有参加,没有参加,政府/子女/老人责任均摊
非常幸福,城市,1983,80000,5,平均水平,参加了,参加了,参加了,没有参加,主要由子女负责
说不上幸福不幸福,城市,1948,72000,4,低于平均水平,没有参加,参加了,没有参加,没有参加,主要由政府负责
比较幸福,城市,1954,100000,2,平均水平,参加了,参加了,没有参加,没有参加,政府/子女/老人责任均摊
比较幸福,城市,1973,40000,3,低于平均水平,参加了,参加了,没有参加,没有参加,主要由子女负责
比较幸福,城市,1929,48000,1,平均水平,参加了,参加了,没有参加,没有参加,政府/子女/老人责任均摊
非常幸福,城市,1963,70000,5,平均水平,不适用,参加了,不适用,不适用,政府/子女/老人责任均摊
比较幸福,城市,1934,0,1,平均水平,没有参加,没有参加,没有参加,没有参加,主要由子女负责
比较幸福,城市,1977,40000,4,低于平均水平,参加了,参加了,没有参加,没有参加,主要由子女负责
比较幸福,城市,1966,40000,3,平均水平,参加了,参加了,没有参加,没有参加,政府/子女/老人责任均摊
比较幸福,城市,1962,40000,1,低于平均水平,参加了,没有参加,没有参加,没有参加,主要由子女负责
比较幸福,城市,1950,50000,2,低于平均水平,参加了,参加了,没有参加,没有参加,政府/子女/老人责任均摊
非常幸福,城市,1954,80000,2,无法回答,参加了,参加了,没有参加,没有参加,主要由子女负责
非常幸福,城市,1949,70000,3,平均水平,参加了,参加了,没有参加,没有参加,政府/子女/老人责任均摊
非常幸福,城市,1953,150000,2,高于平均水平,参加了,不适用,没有参加,没有参加,主要由子女负责
非常幸福,城市,1996,不知道,5,平均水平,没有参加,没有参加,没有参加,没有参加,主要由子女负责
比较幸福,城市,1984,100000,3,高于平均水平,参加了,参加了,没有参加,没有参加,主要由老人自己负责
比较幸福,城市,1978,120000,3,平均水平,参加了,参加了,参加了,参加了,政府/子女/老人责任均摊
比较幸福,城市,1951,50000,2,低于平均水平,参加了,参加了,没有参加,没有参加,主要由政府负责
非常幸福,城市,1982,340000,3,高于平均水平,参加了,参加了,参加了,参加了,政府/子女/老人责任均摊
说不上幸福不幸福,城市,1958,80000,2,平均水平,参加了,参加了,没有参加,没有参加,政府/子女/老人责任均摊
比较幸福,城市,1960,48400,2,低于平均水平,参加了,参加了,没有参加,没有参加,政府/子女/老人责任均摊
非常幸福,城市,1959,56000,2,低于平均水平,参加了,参加了,没有参加,没有参加,政府/子女/老人责任均摊
比较幸福,农村,1962,60000,2,平均水平,参加了,参加了,参加了,参加了,主要由子女负责
非常幸福,城市,1986,220000,3,平均水平,没有参加,没有参加,没有参加,没有参加,无法回答
比较幸福,城市,1979,不知道,3,低于平均水平,参加了,没有参加,没有参加,参加了,主要由老人自己负责
非常幸福,城市,1957,31200,2,高于平均水平,参加了,参加了,没有参加,没有参加,主要由子女负责
比较幸福,城市,1959,180000,4,平均水平,参加了,没有参加,没有参加,没有参加,主要由子女负责
比较幸福,城市,1973,40000,3,平均水平,参加了,参加了,没有参加,没有参加,政府/子女/老人责任均摊
说不上幸福不幸福,城市,1974,50000,3,平均水平,参加了,参加了,没有参加,没有参加,政府/子女/老人责任均摊
比较幸福,城市,1981,拒绝回答,5,平均水平,参加了,参加了,没有参加,没有参加,政府/子女/老人责任均摊
比较幸福,城市,1964,150000,3,低于平均水平,参加了,参加了,没有参加,没有参加,政府/子女/老人责任均摊
比较幸福,城市,1970,100000,3,平均水平,参加了,参加了,没有参加,没有参加,政府/子女/老人责任均摊
比较不幸福,城市,1942,80000,3,平均水平,参加了,参加了,没有参加,没有参加,政府/子女/老人责任均摊
