,微博数,关注数,粉丝数,introduction,是否认证,点赞数,评论数,是否包含特殊符号,sentiment,negative_prob,abnormal
0,519,443,83,1,0,0,0,0,-0.999378,0.99972,0
1,7642,473,148000,1,1,3,0,0,-0.747381,0.886322,0
2,42534,527,240,0,0,0,0,0,-0.999944,0.999975,0
3,52954,748,3406000,1,1,0,0,1,-0.496222,0.7733,0
4,23797,1201,152,1,0,0,0,0,-0.999046,0.999571,0
5,3612,367,3206,1,1,1,0,0,0.999822,8.01238e-05,0
6,13019,886,839,1,1,0,0,0,-0.755273,0.889873,0
7,52593,10173,479000,0,1,0,0,1,0.689487,0.139731,0
8,248132,1758,104000000,1,1,14,9,1,0.926772,0.0329527,0
9,11850,314,606000,1,0,20,6,1,-0.901463,0.955658,0
10,1464,912,89,1,0,0,0,1,0.0,0.442284,0
11,1200,175,34,0,0,0,0,1,-0.566494,0.804922,0
12,15144,148,2639,1,1,5,6,1,0.988695,0.00508726,0
13,5561,1327,101000,1,0,0,0,1,0.984055,0.00717548,0
14,3160,428,1229,1,0,0,0,0,-0.979243,0.99066,0
15,263,210,71,1,0,0,0,1,-0.997322,0.998795,0
16,10107,233,10,1,0,0,0,1,0.565317,0.195607,0
17,2029,490,512,1,0,0,0,1,0.80064,0.0897118,0
18,11949,272,907,1,0,0,0,0,-0.934482,0.970517,0
19,77,88,5,1,0,0,0,0,-0.751789,0.888305,0
20,6593,977,301,1,0,0,0,0,0.869682,0.0586429,0
21,8047,23,11000,1,0,3,1,0,-0.928572,0.967857,0
22,415,225,31,1,0,0,0,0,-0.790838,0.905877,0
23,8039,802,304,1,0,0,0,0,0.0,0.476911,0
24,9492,1594,252000,1,1,187,50,1,0.985521,0.00651575,0
25,7,1,1,0,0,4,2,1,-0.991986,0.996394,0
26,12542,1760,933,1,0,0,0,1,-0.986604,0.993972,0
27,2099,1056,682,1,0,9,7,0,-0.980742,0.991334,0
28,1987,1048,605,1,0,5,0,0,0.840029,0.071987,0
29,15594,3006,425000,1,1,25,6,1,-0.285228,0.678352,0
30,534,100,3861,1,1,18,1,0,-0.667191,0.850236,0
31,13634,442,233000,1,1,26,5,1,0.630751,0.166162,0
32,96297,1302,785000,1,1,28,9,1,-0.999874,0.999943,0
33,67252,1712,1179000,1,1,37,13,1,-0.979362,0.990713,0
34,9491,1594,252000,1,1,17,4,1,0.0,0.608166,0
35,102286,5069,1945000,1,1,30,6,1,0.98444,0.00700197,0
36,922,332,74,0,0,11,0,0,0.56994,0.193527,0
37,9689,2316,831000,1,1,17,9,1,-0.999949,0.999977,0
38,7089,199,259000,1,1,21,8,1,0.0,0.41344,0
39,14954,90,192000,1,1,37,8,1,0.0,0.526119,0
40,8480,161,192000,1,1,93,21,1,-0.99472,0.997624,0
41,30960,622,4479000,1,1,3170,684,1,0.996886,0.00140136,0
42,91213,628,8801000,1,1,29,9,1,0.803551,0.0884019,0
43,3634,214,4356000,1,1,633,110,0,0.0,0.528529,0
44,22347,598,7040000,1,1,7,4,1,0.630329,0.166352,0
45,22364,885,8310000,1,1,16,4,1,0.894119,0.0476466,0
46,117460,712,30929000,1,1,186,49,1,0.831474,0.0758365,0
47,167,761,1632,1,0,0,0,1,0.33445,0.299497,0
48,154,53,4,0,0,0,0,1,-0.667232,0.850254,0
49,1570,1281,147,1,0,0,0,1,0.996379,0.00162946,0
50,2938,369,663000,1,1,1,1,0,0.938413,0.0277143,0
51,1689,1031,170,1,0,0,0,0,-0.821103,0.919496,0
52,1334,72,30,1,0,0,0,1,0.894631,0.0474161,0
53,82987,658,7414000,0,1,0,2,1,0.817663,0.0820515,0
54,34499,1358,549000,1,1,3,1,1,-0.963377,0.98352,0
55,158,137,62,0,0,0,0,0,-0.899349,0.954707,0
56,1564,600,272,1,0,0,0,0,-0.720583,0.874262,0
57,877,140,82,1,0,0,0,1,0.999783,9.77775e-05,0
58,58,77,20,1,0,0,0,0,0.999605,0.000177553,0
59,348,56,13,1,0,0,0,1,0.811063,0.0850214,0
60,15746,1990,504,1,0,1,0,0,0.999947,2.40028e-05,0
61,0,16,1,0,0,0,0,1,-0.999994,0.999997,0
62,6700,731,1795,1,1,0,0,0,-0.676653,0.854494,0
63,637,164,93,1,0,0,0,0,0.0,0.466751,0
64,4977,245,594,1,1,0,0,0,-0.840115,0.928052,0
65,120,316,44,0,0,0,0,1,-0.824644,0.92109,0
66,634,381,912,1,0,0,0,0,-0.788909,0.905009,0
67,39651,603,1445000,1,1,153,101,1,0.791374,0.0938817,0
68,1863,710,20000,1,0,72,2,0,-0.380037,0.721016,0
69,21307,100,1028000,1,1,29,5,1,0.987586,0.00558613,0
70,14,6,1,1,0,143,14,1,0.996724,0.00147421,0
71,14,13,4,0,0,70,0,1,-0.99846,0.999307,0
72,114850,1477,10663000,1,1,34,14,1,0.718784,0.126547,0
73,16627,1350,1944000,1,1,13,0,1,0.0,0.378093,0
74,2636,972,3504000,1,1,53,11,1,-0.999368,0.999715,0
75,43354,221,706,1,1,9,0,1,0.0,0.578977,0
76,9110,248,126000,1,1,12,7,1,-0.994429,0.997493,0
77,30363,111,1393000,1,1,13,0,1,0.609236,0.175844,0
78,175,283,142,1,0,4,0,1,-0.985364,0.993414,0
79,4531,2597,296000,1,1,20,0,0,-0.50943,0.779243,0
80,2925,1949,11000,1,1,4,0,0,-0.434757,0.745641,0
81,26008,990,965000,1,1,8,2,1,0.900899,0.0445953,0
82,4208,5012,1234,1,0,4,2,1,0.644483,0.159983,0
83,49072,207,1165000,1,1,3,0,1,-0.744915,0.885212,0
84,43261,3036,2692000,1,1,32,4,0,-0.987824,0.994521,0
