微博数,关注数,粉丝数,introduction,是否认证,点赞数,评论数,是否包含特殊符号,positive_prob,sentiment,confidence,negative_prob,abnormal
519,443,83,1,0,0,0,0,0.000279861,0,0.999378,0.99972,0
7642,473,148000,1,1,3,0,0,0.113678,0,0.747381,0.886322,0
42534,527,240,0,0,0,0,0,2.50524E-05,0,0.999944,0.999975,0
52954,748,3406000,1,1,0,0,1,0.2267,0,0.496222,0.7733,0
23797,1201,152,1,0,0,0,0,0.000429176,0,0.999046,0.999571,0
3612,367,3206,1,1,1,0,0,0.99992,2,0.999822,8.01238E-05,0
13019,886,839,1,1,0,0,0,0.110127,0,0.755273,0.889873,0
52593,10173,479000,0,1,0,0,1,0.860269,2,0.689487,0.139731,0
248132,1758,104000000,1,1,14,9,1,0.967047,2,0.926772,0.0329527,0
11850,314,606000,1,0,20,6,1,0.0443417,0,0.901463,0.955658,0
1464,912,89,1,0,0,0,1,0.557716,2,0.0171473,0.442284,0
1200,175,34,0,0,0,0,1,0.195078,0,0.566494,0.804922,0
15144,148,2639,1,1,5,6,1,0.994913,2,0.988695,0.00508726,0
5561,1327,101000,1,0,0,0,1,0.992825,2,0.984055,0.00717548,0
3160,428,1229,1,0,0,0,0,0.0093405,0,0.979243,0.99066,0
263,210,71,1,0,0,0,1,0.00120488,0,0.997322,0.998795,0
10107,233,10,1,0,0,0,1,0.804393,2,0.565317,0.195607,0
2029,490,512,1,0,0,0,1,0.910288,2,0.80064,0.0897118,0
11949,272,907,1,0,0,0,0,0.0294829,0,0.934482,0.970517,0
77,88,5,1,0,0,0,0,0.111695,0,0.751789,0.888305,0
6593,977,301,1,0,0,0,0,0.941357,2,0.869682,0.0586429,0
8047,23,11000,1,0,3,1,0,0.0321428,0,0.928572,0.967857,0
415,225,31,1,0,0,0,0,0.0941228,0,0.790838,0.905877,0
8039,802,304,1,0,0,0,0,0.52309,1,0.53821,0.476911,0
9492,1594,252000,1,1,187,50,1,0.993484,2,0.985521,0.00651575,0
7,1,1,0,0,4,2,1,0.00360636,0,0.991986,0.996394,0
12542,1760,933,1,0,0,0,1,0.00602817,0,0.986604,0.993972,0
2099,1056,682,1,0,9,7,0,0.00866601,0,0.980742,0.991334,0
1987,1048,605,1,0,5,0,0,0.928013,2,0.840029,0.071987,0
15594,3006,425000,1,1,25,6,1,0.321648,0,0.285228,0.678352,0
534,100,3861,1,1,18,1,0,0.149764,0,0.667191,0.850236,0
13634,442,233000,1,1,26,5,1,0.833838,2,0.630751,0.166162,0
96297,1302,785000,1,1,28,9,1,5.67533E-05,0,0.999874,0.999943,0
67252,1712,1179000,1,1,37,13,1,0.0092873,0,0.979362,0.990713,0
9491,1594,252000,1,1,17,4,1,0.391834,0,0.129257,0.608166,0
102286,5069,1945000,1,1,30,6,1,0.992998,2,0.98444,0.00700197,0
922,332,74,0,0,11,0,0,0.806473,2,0.56994,0.193527,0
9689,2316,831000,1,1,17,9,1,2.28325E-05,0,0.999949,0.999977,0
7089,199,259000,1,1,21,8,1,0.58656,2,0.0812448,0.41344,0
14954,90,192000,1,1,37,8,1,0.473881,1,0.477625,0.526119,0
8480,161,192000,1,1,93,21,1,0.00237616,0,0.99472,0.997624,0
30960,622,4479000,1,1,3170,684,1,0.998599,2,0.996886,0.00140136,0
91213,628,8801000,1,1,29,9,1,0.911598,2,0.803551,0.0884019,0
3634,214,4356000,1,1,633,110,0,0.471471,1,0.429417,0.528529,0
22347,598,7040000,1,1,7,4,1,0.833648,2,0.630329,0.166352,0
22364,885,8310000,1,1,16,4,1,0.952353,2,0.894119,0.0476466,0
117460,712,30929000,1,1,186,49,1,0.924164,2,0.831474,0.0758365,0
167,761,1632,1,0,0,0,1,0.700503,2,0.33445,0.299497,0
154,53,4,0,0,0,0,1,0.149746,0,0.667232,0.850254,0
1570,1281,147,1,0,0,0,1,0.998371,2,0.996379,0.00162946,0
2938,369,663000,1,1,1,1,0,0.972286,2,0.938413,0.0277143,0
1689,1031,170,1,0,0,0,0,0.0805037,0,0.821103,0.919496,0
1334,72,30,1,0,0,0,1,0.952584,2,0.894631,0.0474161,0
82987,658,7414000,0,1,0,2,1,0.917949,2,0.817663,0.0820515,0
34499,1358,549000,1,1,3,1,1,0.0164804,0,0.963377,0.98352,0
158,137,62,0,0,0,0,0,0.0452931,0,0.899349,0.954707,0
1564,600,272,1,0,0,0,0,0.125738,0,0.720583,0.874262,0
877,140,82,1,0,0,0,1,0.999902,2,0.999783,9.77775E-05,0
58,77,20,1,0,0,0,0,0.999822,2,0.999605,0.000177553,0
348,56,13,1,0,0,0,1,0.914979,2,0.811063,0.0850214,0
15746,1990,504,1,0,1,0,0,0.999976,2,0.999947,2.40028E-05,0
