类别,行政区,点评数,口味,环境,服务,人均消费
烧烤,K,176,8,8.6,7.9,124
美食,H,2,6.1,6.5,6.3,0
粤菜,K,141,6.7,7.2,6.6,141
海鲜,K,76,7.2,7.2,7.3,148
烧烤,K,600,7.2,7.6,7,143
本菜,J,69,8.2,8.9,8.4,66
本菜,J,69,8.2,8.9,8.4,66
浙菜,K,21,7,7,6.9,146
海鲜,K,46,6.1,6.2,6,77
烧烤,K,4,6.9,6.9,6.9,0
浙菜,K,54,7.1,7.1,7,50
快餐,K,50,6.8,7,6.9,31
西餐,K,1321,8.5,8.3,7.8,70
西餐,K,1321,8.5,8.3,7.8,70
西餐,K,636,7.6,9.1,8,68
西餐,K,636,7.6,9.1,8,68
西餐,K,4,7.1,7.1,7.1,0
粤菜,K,1421,7.4,7.7,7.5,108
料理,K,251,7.7,7.4,7.8,83
海鲜,K,336,7.5,7.5,7.3,121
疆菜,K,1,6.9,6.9,6.9,0
北菜,K,0,0,0,0,0
北菜,K,0,0,0,0,0
浙菜,K,302,7.2,7,6.8,75
美食,K,1,7.2,6.8,6.8,0
快餐,K,10,7.5,7.5,7.6,0
浙菜,K,243,7.9,7.5,7.3,64
啡厅,K,121,6.6,6.9,6.6,55
快餐,K,41,6.5,6.5,6.5,28
料理,K,62,7.7,7.7,7.7,92
粤菜,K,115,6.2,6.3,6.4,77
火锅,K,259,6.8,6.9,6.8,92
湘菜,K,606,7.2,7.3,7.2,64
浙菜,K,335,6.9,7.2,7.1,78
啡厅,K,13,7.5,7.5,7.5,0
本菜,K,0,0,0,0,0
美食,K,4,7.4,7.2,7.4,0
海鲜,K,43,7.3,7.3,7.4,95
粤菜,K,0,0,0,0,0
海鲜,K,9,7.4,7.6,7.6,0
快餐,K,6,7.7,7.4,7.7,0
疆菜,K,4,6,6,6,0
美食,K,19,7,6.9,7,52
川菜,K,8,7.2,7.2,7.3,0
火锅,K,483,8.4,8.3,8.4,94
火锅,K,9,7.4,7.1,7.1,0
助餐,K,60,7,7.7,7.6,282
烧烤,K,0,0,0,0,0
美食,K,13,7.5,7.5,7.5,0
啡厅,K,166,7,7.6,6.9,81
助餐,K,25,6.6,7.1,7.2,77
助餐,K,25,6.6,7.1,7.2,77
龙虾,K,0,0,0,0,0
助餐,K,25,6.6,7.1,7.2,77
助餐,K,0,0,0,0,0
助餐,K,0,0,0,0,0
北菜,K,3,7.2,7,7.2,0
料理,K,2,7,7,7,39
西餐,K,5,7.5,7.5,7.7,0
海鲜,K,119,7.2,7.1,7.3,70
川菜,K,62,6.8,6.8,6.6,80
川菜,K,1,7.4,7.4,7.4,0
川菜,K,2,7.2,7.2,7.2,0
川菜,K,2,7.3,7.2,7.3,0
烧烤,K,2,7.4,7.2,7.4,0
龙虾,K,2,7,7.1,7,0
龙虾,K,0,0,0,0,0
龙虾,K,0,0,0,0,0
海鲜,K,1,7.1,7.1,7.1,0
料理,K,0,0,0,0,0
浙菜,K,18,7.3,7.4,7.4,73
常菜,K,0,0,0,0,0
料理,K,0,0,0,0,0
海鲜,K,0,0,0,0,0
川菜,K,34,6.9,7.1,6.5,36
烧烤,K,3,6.9,6.9,6.9,0
烧烤,K,1,7,7,7,0
快餐,K,2,7.7,6.9,6.9,18
西餐,K,78,7.5,7.5,7.4,49
西餐,K,78,7.5,7.5,7.4,49
本菜,K,0,0,0,0,0
啡厅,K,7,6.8,7.2,7.1,26
火锅,K,16,6.4,6.4,6.1,56
湘菜,K,4,7.2,7.1,7.1,0
龙虾,K,0,0,0,0,30
烧烤,K,1,6.9,6.9,6.9,30
烧烤,K,3,6.8,6.8,6.9,0
美食,K,2,7,7,7,0
美食,K,6,6.9,6.9,6.9,0
啡厅,K,7,7.5,7.5,7.5,22
快餐,K,24,7.6,7.5,7.6,15
美食,K,14,7.7,7.6,7.7,16
料理,K,0,0,0,0,0
烧烤,K,23,6.9,7,6.8,0
火锅,K,139,8.3,8.3,8.2,112
烧烤,K,6,7.3,7.3,7.4,30
海鲜,K,6,7,7,6.6,0
浙菜,K,36,6.9,7,6.7,104
浙菜,K,12,6.8,7.3,7,0
湾菜,K,0,0,0,0,0
湾菜,K,0,0,0,0,0
火锅,K,36,7.5,7.4,7.2,113
火锅,K,117,6.9,7,6.6,103
快餐,K,42,7.9,8.2,8.1,24
快餐,K,10,7.6,7.7,7.5,36
料理,K,46,6.3,6.7,6.2,43
西餐,K,17,6.9,7,6.4,74
甜点,K,29,7.7,7.7,7.5,22
川菜,K,1,7.2,7.2,7.2,0
湘菜,K,0,0,0,0,0
北菜,K,0,0,0,0,0
本菜,K,0,0,0,0,0
烧烤,K,182,7,6.9,6.9,43
西餐,K,273,8.2,8.2,8.2,48
烧烤,K,182,7,6.9,6.9,43
海鲜,K,23,7.4,6.9,7.2,77
西餐,K,58,7.6,7.7,7.2,83
海鲜,K,0,0,0,0,0
快餐,K,20,7.3,7.2,7.3,17
川菜,K,7,7.5,7.4,7.6,64
