,类别,行政区,点评数,口味,环境,服务,人均消费
0,烧烤,K,176.0,8.0,8.6,7.9,124.0
2,粤菜,K,141.0,6.7,7.2,6.6,141.0
3,海鲜,K,76.0,7.2,7.2,7.3,148.0
4,烧烤,K,600.0,7.2,7.6,7.0,143.0
5,本菜,J,69.0,8.2,8.9,8.4,66.0
7,浙菜,K,21.0,7.0,7.0,6.9,146.0
8,海鲜,K,46.0,6.1,6.2,6.0,77.0
10,浙菜,K,54.0,7.1,7.1,7.0,50.0
11,快餐,K,50.0,6.8,7.0,6.9,31.0
12,西餐,K,1321.0,8.5,8.3,7.8,70.0
14,西餐,K,636.0,7.6,9.1,8.0,68.0
17,粤菜,K,1421.0,7.4,7.7,7.5,108.0
18,料理,K,251.0,7.7,7.4,7.8,83.0
19,海鲜,K,336.0,7.5,7.5,7.3,121.0
23,浙菜,K,302.0,7.2,7.0,6.8,75.0
26,浙菜,K,243.0,7.9,7.5,7.3,64.0
27,啡厅,K,121.0,6.6,6.9,6.6,55.0
28,快餐,K,41.0,6.5,6.5,6.5,28.0
29,料理,K,62.0,7.7,7.7,7.7,92.0
30,粤菜,K,115.0,6.2,6.3,6.4,77.0
31,火锅,K,259.0,6.8,6.9,6.8,92.0
32,湘菜,K,606.0,7.2,7.3,7.2,64.0
33,浙菜,K,335.0,6.9,7.2,7.1,78.0
37,海鲜,K,43.0,7.3,7.3,7.4,95.0
42,美食,K,19.0,7.0,6.9,7.0,52.0
44,火锅,K,483.0,8.4,8.3,8.4,94.0
46,助餐,K,60.0,7.0,7.7,7.6,282.0
49,啡厅,K,166.0,7.0,7.6,6.9,81.0
50,助餐,K,25.0,6.6,7.1,7.2,77.0
57,料理,K,2.0,7.0,7.0,7.0,39.0
59,海鲜,K,119.0,7.2,7.1,7.3,70.0
60,川菜,K,62.0,6.8,6.8,6.6,80.0
70,浙菜,K,18.0,7.3,7.4,7.4,73.0
74,川菜,K,34.0,6.9,7.1,6.5,36.0
77,快餐,K,2.0,7.7,6.9,6.9,18.0
78,西餐,K,78.0,7.5,7.5,7.4,49.0
81,啡厅,K,7.0,6.8,7.2,7.1,26.0
82,火锅,K,16.0,6.4,6.4,6.1,56.0
85,烧烤,K,1.0,6.9,6.9,6.9,30.0
89,啡厅,K,7.0,7.5,7.5,7.5,22.0
90,快餐,K,24.0,7.6,7.5,7.6,15.0
91,美食,K,14.0,7.7,7.6,7.7,16.0
94,火锅,K,139.0,8.3,8.3,8.2,112.0
95,烧烤,K,6.0,7.3,7.3,7.4,30.0
97,浙菜,K,36.0,6.9,7.0,6.7,104.0
101,火锅,K,36.0,7.5,7.4,7.2,113.0
102,火锅,K,117.0,6.9,7.0,6.6,103.0
103,快餐,K,42.0,7.9,8.2,8.1,24.0
104,快餐,K,10.0,7.6,7.7,7.5,36.0
105,料理,K,46.0,6.3,6.7,6.2,43.0
106,西餐,K,17.0,6.9,7.0,6.4,74.0
107,甜点,K,29.0,7.7,7.7,7.5,22.0
112,烧烤,K,182.0,7.0,6.9,6.9,43.0
113,西餐,K,273.0,8.2,8.2,8.2,48.0
115,海鲜,K,23.0,7.4,6.9,7.2,77.0
116,西餐,K,58.0,7.6,7.7,7.2,83.0
118,快餐,K,20.0,7.3,7.2,7.3,17.0
119,川菜,K,7.0,7.5,7.4,7.6,64.0
120,烧烤,K,9.0,6.8,6.7,6.8,30.0
124,美食,K,7.0,7.1,7.2,7.2,11.0
126,烧烤,K,8.0,7.3,7.3,7.3,19.0
127,本菜,K,30.0,7.2,7.4,7.1,65.0
128,川菜,K,59.0,6.8,6.9,6.8,52.0
130,湘菜,K,14.0,7.2,7.0,7.2,38.0
132,北菜,K,129.0,7.5,6.9,7.4,44.0
133,疆菜,K,26.0,7.2,6.9,7.1,29.0
135,川菜,K,8.0,7.3,7.1,7.2,55.0
136,烧烤,K,17.0,6.5,6.6,6.6,84.0
141,火锅,K,63.0,7.8,7.8,8.0,63.0
